"","OMSCHR","VHAG","NAAM","TYPE","dataset","Sampler","GEBIED","SystemType","WVLC","vrijwillID","provincie","postcode","gemeente","locID","SugbyINBO","isReserved","Latitude","Longitude","updateRes"
"77","BIO: Hellekens, afw spoorwegbrug / FC: Ringlaan (=300m afw)",8502,"Kleine Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2200,"Herentals","I_2200_1","YES","FALSE",51.1834807843877,4.84860034637277,"FALSE"
"78","St-Jozef-Olen, verlenging Neerheide (einde zandweg)",8502,"Kleine Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2460,"Kasterlee","I_2460_1","YES","FALSE",51.1948086587786,4.88226364582145,"FALSE"
"79","Ten Aard, grens Lichtaart (Bobbejaanland), opw. Lichtaartseweg/Olenstw.",8502,"Kleine Nete","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2460,"Kasterlee","I_2460_2","YES","FALSE",51.1987612878894,4.9030521372668,"FALSE"
"80","Emblem; afw. Netekanaal",8505,"Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2520,"Ranst","I_2520_1","YES","FALSE",51.1712783759563,4.6298545261009,"FALSE"
"81","Viersel; zijwegje Bergen (tgo. n°91)",8505,"Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2240,"Zandhoven","I_2240_1","YES","FALSE",51.1826328616524,4.64861046379437,"FALSE"
"82","Pulderbos; Blauwhoef, opw(BIO) en afw(FC) brugje",8505,"Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2242,"Zandhoven","I_2242_1","YES","FALSE",51.2053414646875,4.6862499471874,"FALSE"
"83","Pulsebaan, afw. klein beekje en brug",8505,"Molenbeek","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2243,"Zandhoven","I_2243_1","YES","FALSE",51.21155547511,4.69828458236392,"FALSE"
"84","Halle, kruising Berkenlaan en Boshuisweg, thv van bezoekersbord",8641,"Bakelansbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2240,"Zoersel","I_2240_2","YES","FALSE",51.2366391510615,4.65835690587885,"FALSE"
"85","Reebergenlaan, parallel met E34, afw brug",8713,"De Delfte Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2290,"Vorselaar","I_2290_1","YES","FALSE",51.2431826526888,4.74449111422198,"FALSE"
"86","Oostmalle, St Laurentiuslaan, opw brugje",8782,"Lopende Beek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2390,"Malle","I_2390_2","YES","FALSE",51.2907393843592,4.73896963838503,"FALSE"
"87","Oostmalle, D'Aesten, afw verharde weg",8614,"Aestenbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2390,"Malle","I_2390_3","YES","FALSE",51.2941980833941,4.76448661506633,"FALSE"
"88","Sassenhout, Poederleesesteenweg, opw brug",56510," ","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2290,"Vorselaar","I_2290_2","YES","FALSE",51.2061834756378,4.81964379132709,"FALSE"
"89","Tielen; Walravens, BIO afw brug & FC opw brug",8504,"De Aa","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2460,"Kasterlee","I_2460_3","YES","FALSE",51.2429577949734,4.87248420229384,"FALSE"
"90","St Corneliusstraat, opw brug",8572,"Laakbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2340,"Beerse","I_2340_1","YES","FALSE",51.3128148258017,4.83767363122319,"FALSE"
"91","wandelpad in reservaat De Liereman, opw stuw",8728,"Lieremansloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2360,"Oud-Turnhout","I_2360_1","YES","FALSE",51.3371295079988,5.01153318685332,"FALSE"
"92","zandweg, opw reservaat De Liereman, thv brugje",43667,"Brakeleerloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2360,"Oud-Turnhout","I_2360_2","YES","FALSE",51.3343258542391,5.01470851297278,"FALSE"
"93","Roest, zijweg Poederstr, opwaarts weg en baangrachten",8508,"De Wamp","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2370,"Arendonk","I_2370_1","YES","FALSE",51.3343984072033,5.11832250048222,"FALSE"
"94","Halve Rooien, zijweg Zanddijkstr, opw brug",8710,"Desselse Neet","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2480,"Dessel","I_2480_1","YES","FALSE",51.2623832471822,5.15007126774899,"FALSE"
"95","Hellestraat, afw brug",8870,"Visbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2560,"Nijlen","I_2560_1","YES","FALSE",51.1376513735818,4.66424271615868,"FALSE"
"96","Herlaar, aan kasteel van Herlaar, afw brug en verval(BIO), opw brug(FC)",8507,"Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2270,"Herenthout","I_2270_1","YES","FALSE",51.1218073068602,4.74224213026731,"FALSE"
"97","Wiekevorst;Valleistraat, (FC) opw en (Bio) afw brug en verval",8507,"Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2222,"Heist-op-den-Berg","I_2222_1","YES","FALSE",51.1155493725477,4.79811729682034,"FALSE"
"98","Wiekevorst; Morkhovenseweg-Wiekevorstseweg, opw brug en overstort",8507,"Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2222,"Heist-op-den-Berg","I_2222_2","YES","FALSE",51.1113552567229,4.80687517124659,"FALSE"
"99","Rooiveld, afw brug",8507,"Wimp","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2260,"Westerlo","I_2260_1","YES","FALSE",51.1021603796092,4.83248779872346,"FALSE"
"100","Rossem, Wouwerkenshof, afw brug",9153,"Stapkensloop","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2200,"Herentals","I_2200_2","YES","FALSE",51.1528545355561,4.81938533348492,"FALSE"
"101","Houtvenne, Linieweg, afw brugje",8518,"Steenkensbeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2235,"Hulshout","I_2235_1","YES","FALSE",51.0619955611143,4.80233247967286,"FALSE"
"102","Ramsel; Ramselsestwg (zijstraat), opw brug",8657,"Raamdonksebeek","Cat2","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2230,"Herselt","I_2230_1","YES","FALSE",51.0393323110565,4.84904542078318,"FALSE"
"103","Varendonk; Blaardonk-Trichelhoek, opw. brug",8503,"Grote Laak","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Antwerpen",2431,"Laakdal","I_2431_1","YES","FALSE",51.0870574694784,4.95569651110529,"FALSE"
"104","Vorsterweg,  afw brug",8503,"Grote Laak","Cat1","VMM_Mtp"," "," ","Lotisch"," "," ","Limburg",3980,"Tessenderlo","I_3980_1","YES","FALSE",51.0819167298938,5.09423482329304,"FALSE"
